library_id,cohort,section,found_cells,found_empties,n_droplets_analyzed,expected_cells,fraction_nonempty,fraction_counts_removed,average_counts_removed_per_cell,output_average_counts_per_cell,target_fpr
patient1,breast_cancer,55um,19679.000,13063.000,32742,8447.000,0.601,0.022,16.695,732.762,0.010
patient10_1,breast_cancer,55um,36962.000,20624.000,57586,17646.000,0.642,0.017,36.848,2071.400,0.010
patient10_2,breast_cancer,55um,32473.000,20609.000,53082,15393.000,0.612,0.017,30.872,1743.457,0.010
patient2,breast_cancer,55um,13018.000,115.000,13133,3875.000,0.991,0.306,574.351,1304.339,0.010
patient3,breast_cancer,55um,410.000,0.000,410,102.000,1.000,0.153,292.000,1617.432,0.010
patient4_1,breast_cancer,55um,735.000,161.000,896,253.000,0.820,0.273,517.626,1377.020,0.010
patient4_2,breast_cancer,55um,3430.000,1212.000,4642,1643.000,0.739,0.015,11.893,762.953,0.010
patient5_1,breast_cancer,55um,4671.000,4704.000,9375,2284.000,0.498,0.014,20.479,1430.026,0.010
patient5_2,breast_cancer,55um,5189.000,5205.000,10394,2554.000,0.499,0.017,21.944,1307.648,0.010
patient6_1,breast_cancer,55um,3998.000,2995.000,6993,1927.000,0.572,0.013,26.849,2087.127,0.010
patient6_2,breast_cancer,55um,5107.000,3941.000,9048,2511.000,0.564,0.014,29.566,2014.074,0.010
patient7,breast_cancer,55um,8378.000,4011.000,12389,3981.000,0.676,0.023,12.803,539.502,0.010
patient8,breast_cancer,55um,5834.000,4390.000,10224,2892.000,0.571,0.018,22.472,1220.599,0.010
patient9,breast_cancer,55um,11161.000,7582.000,18743,5496.000,0.595,0.023,46.709,1951.962,0.010
patient4_1,breast_cancer,HD,4692.000,50.000,4742,1393.000,0.989,0.283,505.799,1284.457,0.010
patient4_2,breast_cancer,HD,5687.000,41.000,5728,1761.000,0.993,0.275,562.872,1481.065,0.010
patient5,breast_cancer,HD,12362.000,7383.000,19745,5227.000,0.626,0.019,16.687,852.717,0.010
mb_sample1,mouse_brain,sample_1,9992,14132,24124,,0.414,,,,
mb_sample2,mouse_brain,sample_2,14575,11573,26148,,0.557,,,,
pt10,prostate_cancer,pt10,6475.000,11155.000,17630,2962.000,0.367,0.022,30.690,1354.058,0.010
pt20,prostate_cancer,pt20,9905.000,7911.000,17816,4483.000,0.556,0.034,25.456,732.676,0.010
patient10_technical1,technical_experiments,patient10_technical1,6497.000,18087.000,24584,4584.000,0.264,0.018,46.838,2622.281,0.010
patient10_technical2,technical_experiments,patient10_technical2,6571.000,19264.000,25835,5835.000,0.254,0.017,90.873,5270.971,0.010
SIMPlex_Rev001_Tube2,technical_experiments,patient4_technical,17483.000,10695.000,28178,8178.000,0.620,0.143,25.174,150.974,0.010
SIMPlex_Rev001_Tube1,technical_experiments,patient6_technical_3x,25869.000,11698.000,37567,17567.000,0.689,0.111,31.068,247.665,0.010
