"interaction_pairs","interaction","value","scram_mean","scram_sd","p_val","cell_type1","cell_type2","interact_ratio","p_val_adj"
"Plasma-cells_iCAF-classical","A2M_LRP1",1.29116029703036,0.411774546647106,0.295550862547079,0.00146297372689497,"Plasma-cells","iCAF-classical",3.13560006936732,0.0400833985930653
"Myoepithelial_iCAF-classical","A2M_LRP1",2.09669928678604,0.565504027119356,0.47217113075872,0.000591636039125154,"Myoepithelial","iCAF-classical",3.70766464293189,0.0194064610393619
"mCAF-plastic_iCAF-classical","A2M_LRP1",1.460676900846,0.545040311378552,0.31060741981882,0.00159975307565741,"mCAF-plastic","iCAF-classical",2.67994287826446,0.0429689896860732
"Myoepithelial_mCAF-classical","A2M_LRP1",1.90247643629852,0.437434338658109,0.305956245060664,8.40564888471285e-07,"Myoepithelial","mCAF-classical",4.34917030550146,6.48045969019791e-05
"T-cells-CD8-effector_mCAF-plastic","A2M_LRP1",0.841345153604795,0.304128397368355,0.151963201755876,0.000203751351372072,"T-cells-CD8-effector","mCAF-plastic",2.76641432002081,0.00807113627794301
"Myoepithelial_apCAF-classical","A2M_LRP1",2.03573534023815,0.544250920898293,0.437411420891338,0.000325055515806305,"Myoepithelial","apCAF-classical",3.74043526996361,0.0119014416758475
"Endothelial_apCAF-classical","A2M_LRP1",2.49738606525039,0.483982293244214,0.376990476104647,4.62869109707498e-08,"Endothelial","apCAF-classical",5.16007734190026,4.54470703720614e-06
"mCAF-patient4-specific_apCAF-classical","A2M_LRP1",1.8767627018841,0.429549742733802,0.492831065208859,0.00165953627659643,"mCAF-patient4-specific","apCAF-classical",4.36913939219179,0.0441860835977188
"mCAF-classical_mCAF-remodeling","A2M_LRP1",1.81648325841712,0.500939486436817,0.385025912388922,0.000316847629746042,"mCAF-classical","mCAF-remodeling",3.62615307357335,0.0116508138410832
"pDCs_mCAF-remodeling","A2M_LRP1",1.30549598721679,0.360279147445361,0.307913419397564,0.00107119451680182,"pDCs","mCAF-remodeling",3.62356799296795,0.0313568649638988
"mCAF-remodeling_mCAF-remodeling","A2M_LRP1",1.88566004518388,0.452297313352005,0.447056729769062,0.000672452974488813,"mCAF-remodeling","mCAF-remodeling",4.169071956694,0.0215449034395539
"Endothelial_Macrophages-monocyte-derived","A2M_LRP1",1.51910734321591,0.548025957189937,0.293252433383001,0.000464122202350259,"Endothelial","Macrophages-monocyte-derived",2.77196239208321,0.0159431290883677
"Myoepithelial_iCAF-secretory","A2M_LRP1",2.12729944757634,0.521314622391891,0.416216566517763,5.70351318404105e-05,"Myoepithelial","iCAF-secretory",4.08064411816396,0.00273899335674854
"Endothelial_iCAF-secretory","A2M_LRP1",2.58895017258858,0.846535338135625,0.533243112672605,0.000542354932805633,"Endothelial","iCAF-secretory",3.05828954322258,0.0180827276379978
"mCAF-remodeling_iCAF-secretory","A2M_LRP1",1.895590396086,0.465717289483531,0.469657901371206,0.00116534023762938,"mCAF-remodeling","iCAF-secretory",4.07025987415707,0.0334980467715545
"pDCs_mCAF-patient4-specific","A2M_LRP1",1.19881584429788,0.226006674554163,0.19112171031504,1.79033415870222e-07,"pDCs","mCAF-patient4-specific",5.30433823099584,1.57742756151113e-05
"LumProgenitors-shared_iCAF-classical","ADAM10_AXL",0.401220328406161,0.141706062436267,0.0873097524348993,0.00147769621740701,"LumProgenitors-shared","iCAF-classical",2.83135612907607,0.0404140948830842
"Cancer-Basal/Cycl-pat4_mCAF-classical","ADAM10_AXL",0.551998293842992,0.225361518640292,0.108167548536316,0.00126500119945905,"Cancer-Basal/Cycl-pat4","mCAF-classical",2.44939019391352,0.035775867476101
"Myoepithelial_mCAF-classical","ADAM10_AXL",0.674911235124769,0.264673697578022,0.127403995952747,0.000641011414827419,"Myoepithelial","mCAF-classical",2.54997470961698,0.0207239189169418
"mCAF-plastic_mCAF-classical","ADAM10_AXL",0.588977711841586,0.196454565555082,0.120084789127189,0.000540182216355545,"mCAF-plastic","mCAF-classical",2.99803524635546,0.018028565656335
"T-cells-CD8-effector_mCAF-classical","ADAM10_AXL",0.675357785521045,0.182324064473285,0.110237133616556,3.86582497147181e-06,"T-cells-CD8-effector","mCAF-classical",3.70416152948367,0.000255470733545246
"B/T-mixed-patient4_mCAF-classical","ADAM10_AXL",0.682778766180638,0.22167541828223,0.104225100002652,4.84202482220475e-06,"B/T-mixed-patient4","mCAF-classical",3.08008335552726,0.000311553068823638
